name	exit_code	expectation	command
autodiff_embedding.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_embedding.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_forward.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_forward.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_forward.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_forward.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_forward.aot
autodiff_forward.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_forward.aot
autodiff_forward.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_forward.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_forward.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_forward.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_gradient_scalar.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_scalar.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_gradient_scalar.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_gradient_scalar.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_gradient_scalar.aot
autodiff_gradient_scalar.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_gradient_scalar.aot
autodiff_gradient_scalar.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_scalar.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_gradient_scalar.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_scalar.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_gradient_tensor.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_tensor.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_gradient_tensor.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_gradient_tensor.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_gradient_tensor.aot
autodiff_gradient_tensor.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_gradient_tensor.aot
autodiff_gradient_tensor.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_tensor.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_gradient_tensor.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_tensor.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_layer_norm.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_layer_norm.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_layer_norm.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_layer_norm.aot_run_1	1	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_layer_norm.aot
autodiff_layer_norm.aot_run_2	1	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_layer_norm.aot
autodiff_layer_norm.jit_run	1	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_layer_norm.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_layer_norm.jit_run_2	1	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_layer_norm.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_matmul.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_matmul.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_matmul.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_matmul.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_matmul.aot
autodiff_matmul.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_matmul.aot
autodiff_matmul.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_matmul.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_matmul.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_matmul.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_relu.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_relu.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_relu.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_relu.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_relu.aot
autodiff_relu.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_relu.aot
autodiff_relu.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_relu.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_relu.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_relu.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_repeated_calls.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_repeated_calls.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_repeated_calls.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_repeated_calls.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_repeated_calls.aot
autodiff_repeated_calls.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/autodiff_repeated_calls.aot
autodiff_repeated_calls.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_repeated_calls.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
autodiff_repeated_calls.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_repeated_calls.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
batch_matmul.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/batch_matmul.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/batch_matmul.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
batch_matmul.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/batch_matmul.aot
batch_matmul.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/batch_matmul.aot
batch_matmul.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/batch_matmul.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
batch_matmul.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/batch_matmul.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
broadcast.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/broadcast.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/broadcast.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
broadcast.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/broadcast.aot
broadcast.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/broadcast.aot
broadcast.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/broadcast.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
broadcast.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/broadcast.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
causal_mask.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/causal_mask.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/causal_mask.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
causal_mask.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/causal_mask.aot
causal_mask.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/causal_mask.aot
