name	exit_code	expectation	command
compiler_help	0	discovery	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run --help
file_checksum.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_checksum.esk -o /home/gabe/.cache/eshkol-r0-canonical-supplemental-20260828/file_checksum-work/file_checksum.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
file_checksum.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-supplemental-20260828/file_checksum-work/file_checksum.aot
file_checksum.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-supplemental-20260828/file_checksum-work/file_checksum.aot
file_checksum.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_checksum.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
file_checksum.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/file_checksum.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
