name	exit_code	expectation	command
autodiff_forward.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_forward.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_forward.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_forward.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_gradient_scalar.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_scalar.esk -o /home/gabe/.cache/eshkol-r0/work3/autodiff_gradient_scalar.aot -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_gradient_scalar.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/autodiff_gradient_scalar.aot
autodiff_gradient_scalar.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/autodiff_gradient_scalar.aot
autodiff_gradient_scalar.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_scalar.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_gradient_scalar.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_scalar.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_gradient_tensor.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_tensor.esk -o /home/gabe/.cache/eshkol-r0/work3/autodiff_gradient_tensor.aot -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_gradient_tensor.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/autodiff_gradient_tensor.aot
autodiff_gradient_tensor.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/autodiff_gradient_tensor.aot
autodiff_gradient_tensor.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_tensor.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_gradient_tensor.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_gradient_tensor.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_layer_norm.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_layer_norm.esk -o /home/gabe/.cache/eshkol-r0/work3/autodiff_layer_norm.aot -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_layer_norm.aot_run_1	139	capability-run	/home/gabe/.cache/eshkol-r0/work3/autodiff_layer_norm.aot
autodiff_layer_norm.aot_run_2	139	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/autodiff_layer_norm.aot
autodiff_layer_norm.jit_run	139	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_layer_norm.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_layer_norm.jit_run_2	139	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_layer_norm.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_matmul.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_matmul.esk -o /home/gabe/.cache/eshkol-r0/work3/autodiff_matmul.aot -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_matmul.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/autodiff_matmul.aot
autodiff_matmul.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/autodiff_matmul.aot
autodiff_matmul.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_matmul.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_matmul.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_matmul.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_relu.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_relu.esk -o /home/gabe/.cache/eshkol-r0/work3/autodiff_relu.aot -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_relu.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/autodiff_relu.aot
autodiff_relu.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/autodiff_relu.aot
